Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates (Headcount)
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Artists,133
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,"Authors, Journalists and Related Writers",11
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Business Professionals,689
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Clerical and Related Workers,5
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",67
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineering Technicians,23
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineers,438
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Government Officials (General Grades),1
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",37
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Managers,39
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Medical and Health Workers,575
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Professionals and Technical Workers,73
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Service Workers,52
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Science Technicians,36
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Scientists,7
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Production and Related Workers,15
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Protective Service Workers,2
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Sales/Service Workers,24
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,System Analysts and Computer Programmers,149
2019/20,The Hong Kong Polytechnic University,Undergraduate,FT employment,Teaching Profession,65
2019/20,The Hong Kong Polytechnic University,Undergraduate,Further studies,Not in Full-time Employment,320
2019/20,The Hong Kong Polytechnic University,Undergraduate,Others,Not in Full-time Employment,414
2019/20,The Hong Kong Polytechnic University,Undergraduate,Underemployed,Not in Full-time Employment,154
2019/20,The Hong Kong Polytechnic University,Undergraduate,Unemployed,Not in Full-time Employment,79
2019/20,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Business Professionals,2
2019/20,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Engineering Technicians,2
2019/20,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Engineers,16
2019/20,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,"Insurance, Real Estate, and Business Services",1
2019/20,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Managers,2
2019/20,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Physical and Life Scientists,1
2019/20,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,System Analysts and Computer Programmers,7
2019/20,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Teaching Profession,147
2019/20,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Workers not reporting any occupation,11
2019/20,The Hong Kong University of Science and Technology,Research postgraduate,Further studies,Not in Full-time Employment,101
2019/20,The Hong Kong University of Science and Technology,Research postgraduate,Others,Not in Full-time Employment,153
2019/20,The Hong Kong University of Science and Technology,Research postgraduate,Underemployed,Not in Full-time Employment,5
2019/20,The Hong Kong University of Science and Technology,Research postgraduate,Unemployed,Not in Full-time Employment,5
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Accountants and Auditors,113
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Agriculture and Fishery Workers,1
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Aircraft and Ship Officers,4
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Artists,2
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,"Authors, Journalists and Related Writers",4
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Business Professionals,436
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Clerical and Related Workers,13
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",9
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineering Technicians,26
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineers,242
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Government Administrators and Diplomats,5
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Government Officials (General Grades),12
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",13
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Legal Workers,1
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Managers,12
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Medical and Health Workers,19
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Other Professionals and Technical Workers,7
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Other Service Workers,3
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Physical and Life Science Technicians,18
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Physical and Life Scientists,4
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Production and Related Workers,3
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Protective Service Workers,2
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Religious Workers,1
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Sales/Service Workers,7
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,System Analysts and Computer Programmers,184
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Teaching Profession,99
2019/20,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Workers not reporting any occupation,254
2019/20,The Hong Kong University of Science and Technology,Undergraduate,Further studies,Not in Full-time Employment,424
2019/20,The Hong Kong University of Science and Technology,Undergraduate,Others,Not in Full-time Employment,76
2019/20,The Hong Kong University of Science and Technology,Undergraduate,Underemployed,Not in Full-time Employment,72
2019/20,The Hong Kong University of Science and Technology,Undergraduate,Unemployed,Not in Full-time Employment,39
2019/20,The University of Hong Kong,Research postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2019/20,The University of Hong Kong,Research postgraduate,FT employment,Business Professionals,10
2019/20,The University of Hong Kong,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",1
2019/20,The University of Hong Kong,Research postgraduate,FT employment,Engineering Technicians,7
2019/20,The University of Hong Kong,Research postgraduate,FT employment,Engineers,5
2019/20,The University of Hong Kong,Research postgraduate,FT employment,Government Officials (General Grades),1
2019/20,The University of Hong Kong,Research postgraduate,FT employment,Managers,5
2019/20,The University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,24
2019/20,The University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,8
2019/20,The University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,21
2019/20,The University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,7
2019/20,The University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,145
2019/20,The University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,39
2019/20,The University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,49
2019/20,The University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,48
2019/20,The University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,27
2019/20,The University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,8
2019/20,The University of Hong Kong,Taught postgraduate,FT employment,Architects and Surveyors,43
2019/20,The University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,1
2019/20,The University of Hong Kong,Taught postgraduate,FT employment,Engineering Technicians,1
2019/20,The University of Hong Kong,Taught postgraduate,FT employment,Government Officials (General Grades),1
2019/20,The University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,69
2019/20,The University of Hong Kong,Taught postgraduate,FT employment,Medical and Health Workers,4
2019/20,The University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,14
2019/20,The University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,80
2019/20,The University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,58
2019/20,The University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,12
2019/20,The University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,9
2019/20,The University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,10
2019/20,The University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,2
2019/20,The University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,109
2019/20,The University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,4
2019/20,The University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,85
2019/20,The University of Hong Kong,Undergraduate,FT employment,Artists,6
2019/20,The University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",20
2019/20,The University of Hong Kong,Undergraduate,FT employment,Business Professionals,359
2019/20,The University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,20
2019/20,The University of Hong Kong,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",69
2019/20,The University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,41
2019/20,The University of Hong Kong,Undergraduate,FT employment,Engineers,167
2019/20,The University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),30
2019/20,The University of Hong Kong,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",23
2019/20,The University of Hong Kong,Undergraduate,FT employment,Legal Workers,5
2019/20,The University of Hong Kong,Undergraduate,FT employment,Managers,32
2019/20,The University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,382
2019/20,The University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,51
2019/20,The University of Hong Kong,Undergraduate,FT employment,Other Service Workers,6
2019/20,The University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,18
2019/20,The University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,15
2019/20,The University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,2
2019/20,The University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,7
2019/20,The University of Hong Kong,Undergraduate,FT employment,Religious Workers,1
2019/20,The University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,112
2019/20,The University of Hong Kong,Undergraduate,FT employment,Teaching Profession,266
2019/20,The University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,422
2019/20,The University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,686
2019/20,The University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,85
2019/20,The University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,164
2019/20,The University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,32
2020/21,City University of Hong Kong,Research postgraduate,FT employment,Business Professionals,2
2020/21,City University of Hong Kong,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",1
2020/21,City University of Hong Kong,Research postgraduate,FT employment,Engineers,4
2020/21,City University of Hong Kong,Research postgraduate,FT employment,Managers,1
2020/21,City University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,3
2020/21,City University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,4
2020/21,City University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,2
2020/21,City University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,57
2020/21,City University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,4
2020/21,City University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,5
2020/21,City University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,163
2020/21,City University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,6
2020/21,City University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,3
2020/21,City University of Hong Kong,Sub-degree,FT employment,Architects and Surveyors,5
2020/21,City University of Hong Kong,Sub-degree,FT employment,Clerical and Related Workers,3
2020/21,City University of Hong Kong,Sub-degree,FT employment,Engineering Technicians,6
2020/21,City University of Hong Kong,Sub-degree,FT employment,Engineers,1
2020/21,City University of Hong Kong,Sub-degree,FT employment,Occupations not elsewhere classified,1
2020/21,City University of Hong Kong,Sub-degree,FT employment,Production and Related Workers,1
2020/21,City University of Hong Kong,Sub-degree,FT employment,Workers not reporting any occupation,3
2020/21,City University of Hong Kong,Sub-degree,Further studies,Not in Full-time Employment,101
2020/21,City University of Hong Kong,Sub-degree,Others,Not in Full-time Employment,5
2020/21,City University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,3
2020/21,City University of Hong Kong,Sub-degree,Unemployed,Not in Full-time Employment,3
2020/21,City University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,24
2020/21,City University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,6
2020/21,City University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,1
2020/21,City University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,132
2020/21,City University of Hong Kong,Undergraduate,FT employment,Agriculture and Fishery Workers,1
2020/21,City University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,3
2020/21,City University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,61
2020/21,City University of Hong Kong,Undergraduate,FT employment,Artists,52
2020/21,City University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",44
2020/21,City University of Hong Kong,Undergraduate,FT employment,Business Professionals,571
2020/21,City University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,94
2020/21,City University of Hong Kong,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",43
2020/21,City University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,44
2020/21,City University of Hong Kong,Undergraduate,FT employment,Engineers,160
2020/21,City University of Hong Kong,Undergraduate,FT employment,Government Administrators and Diplomats,5
2020/21,City University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),13
2020/21,City University of Hong Kong,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",41
2020/21,City University of Hong Kong,Undergraduate,FT employment,Legal Workers,8
2020/21,City University of Hong Kong,Undergraduate,FT employment,Managers,46
2020/21,City University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,34
2020/21,City University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,104
2020/21,City University of Hong Kong,Undergraduate,FT employment,Other Service Workers,21
2020/21,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,21
2020/21,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,8
2020/21,City University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,5
2020/21,City University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,9
2020/21,City University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,21
2020/21,City University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,192
2020/21,City University of Hong Kong,Undergraduate,FT employment,Teaching Profession,173
2020/21,City University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,282
2020/21,City University of Hong Kong,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,2
2020/21,City University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,528
2020/21,City University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,351
2020/21,City University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,43
2020/21,City University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,33
2020/21,Hong Kong Baptist University,Research postgraduate,FT employment,Engineers,1
2020/21,Hong Kong Baptist University,Research postgraduate,FT employment,Physical and Life Science Technicians,1
2020/21,Hong Kong Baptist University,Research postgraduate,FT employment,Physical and Life Scientists,1
2020/21,Hong Kong Baptist University,Research postgraduate,FT employment,System Analysts and Computer Programmers,1
2020/21,Hong Kong Baptist University,Research postgraduate,FT employment,Teaching Profession,11
2020/21,Hong Kong Baptist University,Research postgraduate,Further studies,Not in Full-time Employment,5
2020/21,Hong Kong Baptist University,Research postgraduate,Others,Not in Full-time Employment,39
2020/21,Hong Kong Baptist University,Research postgraduate,Underemployed,Not in Full-time Employment,2
2020/21,Hong Kong Baptist University,Research postgraduate,Unemployed,Not in Full-time Employment,1
2020/21,Hong Kong Baptist University,Taught postgraduate,FT employment,Teaching Profession,18
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Accountants and Auditors,80
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Aircraft and Ship Officers,1
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Artists,54
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,"Authors, Journalists and Related Writers",131
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Business Professionals,404
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Clerical and Related Workers,23
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",4
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Engineers,6
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Government Officials (General Grades),1
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",12
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Legal Workers,4
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Medical and Health Workers,29
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Occupations not elsewhere classified,1
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Other Professionals and Technical Workers,83
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Other Service Workers,9
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Science Technicians,24
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Scientists,6
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Protective Service Workers,6
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Religious Workers,1
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Sales/Service Workers,7
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,System Analysts and Computer Programmers,86
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Teaching Profession,253
2020/21,Hong Kong Baptist University,Undergraduate,FT employment,Workers not reporting any occupation,98
2020/21,Hong Kong Baptist University,Undergraduate,Further studies,Not in Full-time Employment,262
2020/21,Hong Kong Baptist University,Undergraduate,Others,Not in Full-time Employment,188
2020/21,Hong Kong Baptist University,Undergraduate,Underemployed,Not in Full-time Employment,75
2020/21,Hong Kong Baptist University,Undergraduate,Unemployed,Not in Full-time Employment,22
2020/21,Lingnan University,Research postgraduate,FT employment,Clerical and Related Workers,1
2020/21,Lingnan University,Research postgraduate,FT employment,Government Officials (General Grades),1
2020/21,Lingnan University,Research postgraduate,FT employment,Teaching Profession,9
2020/21,Lingnan University,Research postgraduate,FT employment,Workers not reporting any occupation,1
2020/21,Lingnan University,Research postgraduate,Further studies,Not in Full-time Employment,4
2020/21,Lingnan University,Research postgraduate,Others,Not in Full-time Employment,5
2020/21,Lingnan University,Research postgraduate,Underemployed,Not in Full-time Employment,3
2020/21,Lingnan University,Research postgraduate,Unemployed,Not in Full-time Employment,1
2020/21,Lingnan University,Undergraduate,FT employment,Accountants and Auditors,36
2020/21,Lingnan University,Undergraduate,FT employment,Artists,2
2020/21,Lingnan University,Undergraduate,FT employment,"Authors, Journalists and Related Writers",11
2020/21,Lingnan University,Undergraduate,FT employment,Business Professionals,169
2020/21,Lingnan University,Undergraduate,FT employment,Clerical and Related Workers,10
2020/21,Lingnan University,Undergraduate,FT employment,Government Officials (General Grades),7
2020/21,Lingnan University,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",12
2020/21,Lingnan University,Undergraduate,FT employment,Legal Workers,3
2020/21,Lingnan University,Undergraduate,FT employment,Managers,11
2020/21,Lingnan University,Undergraduate,FT employment,Medical and Health Workers,1
2020/21,Lingnan University,Undergraduate,FT employment,Other Professionals and Technical Workers,11
2020/21,Lingnan University,Undergraduate,FT employment,Other Service Workers,7
2020/21,Lingnan University,Undergraduate,FT employment,Religious Workers,1
2020/21,Lingnan University,Undergraduate,FT employment,Sales/Service Workers,2
2020/21,Lingnan University,Undergraduate,FT employment,System Analysts and Computer Programmers,4
2020/21,Lingnan University,Undergraduate,FT employment,Teaching Profession,69
2020/21,Lingnan University,Undergraduate,FT employment,Workers not reporting any occupation,58
2020/21,Lingnan University,Undergraduate,Further studies,Not in Full-time Employment,82
2020/21,Lingnan University,Undergraduate,Others,Not in Full-time Employment,32
2020/21,Lingnan University,Undergraduate,Underemployed,Not in Full-time Employment,44
2020/21,Lingnan University,Undergraduate,Unemployed,Not in Full-time Employment,16
2020/21,The Chinese University of Hong Kong,Research postgraduate,FT employment,Artists,2
2020/21,The Chinese University of Hong Kong,Research postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2020/21,The Chinese University of Hong Kong,Research postgraduate,FT employment,Business Professionals,12
2020/21,The Chinese University of Hong Kong,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",5
2020/21,The Chinese University of Hong Kong,Research postgraduate,FT employment,Engineers,13
2020/21,The Chinese University of Hong Kong,Research postgraduate,FT employment,Government Officials (General Grades),2
2020/21,The Chinese University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,8
2020/21,The Chinese University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,2
2020/21,The Chinese University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,14
2020/21,The Chinese University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,150
2020/21,The Chinese University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,46
2020/21,The Chinese University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,67
2020/21,The Chinese University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,87
2020/21,The Chinese University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,15
2020/21,The Chinese University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,29
2020/21,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Architects and Surveyors,32
2020/21,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,2
2020/21,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Government Officials (General Grades),2
2020/21,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,29
2020/21,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Medical and Health Workers,13
2020/21,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Occupations not elsewhere classified,1
2020/21,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,18
2020/21,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Physical and Life Scientists,1
2020/21,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,153
2020/21,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,15
2020/21,The Chinese University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,3
2020/21,The Chinese University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,2
2020/21,The Chinese University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,2
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,119
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,58
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Artists,23
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",76
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Business Professionals,456
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,11
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",52
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Engineers,99
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),19
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",20
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Legal Workers,12
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Managers,167
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,450
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Occupations not elsewhere classified,5
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,79
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Other Service Workers,11
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,5
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,14
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,1
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,6
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Religious Workers,3
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,6
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,199
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Teaching Profession,400
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,269
2020/21,The Chinese University of Hong Kong,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,5
2020/21,The Chinese University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,630
2020/21,The Chinese University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,118
2020/21,The Chinese University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,100
2020/21,The Chinese University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,100
2020/21,The Education University of Hong Kong,Research postgraduate,FT employment,Government Officials (General Grades),1
2020/21,The Education University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,7
2020/21,The Education University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,8
2020/21,The Education University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,1
2020/21,The Education University of Hong Kong,Sub-degree,FT employment,Business Professionals,7
2020/21,The Education University of Hong Kong,Sub-degree,FT employment,Clerical and Related Workers,1
2020/21,The Education University of Hong Kong,Sub-degree,FT employment,"Insurance, Real Estate, and Business Services",2
2020/21,The Education University of Hong Kong,Sub-degree,FT employment,Managers,1
2020/21,The Education University of Hong Kong,Sub-degree,FT employment,Medical and Health Workers,2
2020/21,The Education University of Hong Kong,Sub-degree,FT employment,Other Service Workers,2
2020/21,The Education University of Hong Kong,Sub-degree,FT employment,Sales/Service Workers,5
2020/21,The Education University of Hong Kong,Sub-degree,FT employment,Teaching Profession,122
2020/21,The Education University of Hong Kong,Sub-degree,Further studies,Not in Full-time Employment,104
2020/21,The Education University of Hong Kong,Sub-degree,Others,Not in Full-time Employment,15
2020/21,The Education University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,33
2020/21,The Education University of Hong Kong,Sub-degree,Unemployed,Not in Full-time Employment,5
2020/21,The Education University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,1
2020/21,The Education University of Hong Kong,Taught postgraduate,FT employment,Government Officials (General Grades),1
2020/21,The Education University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,2
2020/21,The Education University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,137
2020/21,The Education University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,1
2020/21,The Education University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,3
